21.816188, 61.474968, McDonald's Neste-24-Pori 
24.744003, 60.208511, McDonald's Kauniaistentie, Palomiehentie 2  Ma-Su 10.00 - 23.00 McDrive 10.00 - 23.00-Espoo 
25.028219, 60.283735, McDonald's Drive in  Ala-Tikkurila-Helsinki 
25.037715, 60.194242, McDonald's Herttoniemi, Laivalahdenkatu 1  Ma-To 07.00-23.00 Pe-La 07.00-24.00 Su 08.00 - 23.00 McDrive 24 h-Helsinki 
24.97792, 60.242879, McDonald's Drive in,  Pukinmäki-Helsinki 
24.917384, 60.189959, McDonald's Töölö, Mannerheimintie 53  Su-To 08.00 - 24.00 Pe-La 08.00 - 01.00 McDrive 24 h-Helsinki 
25.135315, 60.205543, McDonald's Drive in  Vuosaari-Helsinki 
24.97562, 60.272409, McDonald's Tammisto, 24 h Drive in  Kirkkotie 4-Vantaa 
25.999138, 61.192439, McDonald's Drive in  Heinola-Heinola 
25.102445, 60.401309, McDonald's Drive in  Kerava-Kerava 
24.441487, 60.121488, McDonald's Drive in  Kirkkonummi-Kirkkonummi 
24.722331, 60.163514, McDonald's Espoo Friisilä, Tähdenlennontie 3  Ma-Su 10.00 - 23.00-Espoo 
24.657902, 60.148572, McDonald's Espoo Lippulaiva, Espoonlahdenkatu 4-6  Ma-Pe 10.00 - 21.30 La 10.00 - 21.00 Su 11.00 - 21.00-Espoo 
24.659883, 60.218455, McDonald's Espoo Lommila, Lommilanrinne 2  Ma-Su 10.00 - 23.00-Espoo 
24.778148, 60.170972, McDonald's Espoo Niittykumpu, Niittymaantie 6  Ma-Su 10.00 - 24.00 McDrive Ma-Ti 9.00 - 24.00 Ke-Su 24 h-Espoo 
24.805831, 60.176058, McDonald's Espoo Tapiola, Länsituulentie 12  Ma-Pe 9.30 - 21.00 La 9.30 - 19.00 Su 12.00 - 18.00-Espoo 
24.93971, 60.168816, McDonald's Helsinki Forum Katutaso, Mannerheimintie 16  Ma-To 07.00 - 24.00 Pe 07.00 - 05.00 La 08.00 - 05.00 Su 08.00 - 24.00-Helsinki 
24.938544, 60.169597, McDonald's Helsinki Forum Pohjakerros, Mannerheimintie 20  Ma-Pe 07.00 - 21.00 La 08.00 - 18.00 Su 10.00 - 18.00-Helsinki 
24.949746, 60.178363, McDonald's Helsinki Hakaniemi, Siltasaarenkatu 12  Ma-Pe 8.00 - 23.00 La 10.00 - 23.00 Su 11.00 - 23.00-Helsinki 
24.944033, 60.164233, McDonald's Helsinki Iso-Roba, Iso Roobertinkatu 1  Ma-To 07.00 - 23.00 Pe 07.00 - 05.00 La 08.00 - 05.00 Su 08.00 - 23.00-Helsinki 
25.083454, 60.210046, McDonald's Helsinki Itäkeskus CITY-JÄTTI, Asiakkaankatu 11  Ma-Pe 09.00 - 21.00 La 09.00 - 18.00 Su 12.00 - 18.00 (kauppakeskuksen ollessa auki)-Helsinki 
25.08545, 60.212624, McDonald's Helsinki Itäkeskus Kauppakeskus, Itäkatu 1  Ma-Pe 09.00 - 21.00 La 09.00 - 19.00 Su 10.00 - 19.00-Helsinki 
24.930146, 60.169035, McDonald's Helsinki Kamppi, Fredrikinkatu 46  Ma-Ti ja To 06.30 - 24.00 Ke ja Pe 06.30 - 05.00 La-Su 08.00 - 05.00-Helsinki 
24.94758, 60.169172, McDonald's Helsinki Kluuvi, Kluuvikatu 5  Ma-Pe 07.00 - 23.00 La-Su 08.00 - 23.00-Helsinki 
25.08359, 60.23831, McDonald's Helsinki Kontula, Ostostie 4  Ma-La 09.00 - 22.00 Su 11.00 - 22.00-Helsinki 
24.88908, 60.195708, McDonald's Helsinki Meilahti, Paciuksenkatu 29  Ma-Pe 08.00 - 23.00 La-Su ja pyhäpäivät 10.00 - 23.00-Helsinki 
